Team,School,Received,seed,panel,pres_file,text_file
R2-D2,Smith,X,0.09595932951197028,A,r2_d2_pres.pdf,r2_d2_text.pdf
Group 23333,UMass,X,0.0989934797398746,A,group_23333_pres.pdf,group_23333_text.pdf
The Ultimate DataMasters,UMass,X,0.16479416121728718,A,the_ultimate_datamasters_pres.pdf,the_ultimate_datamasters_text.pdf
X404 found,Mount Holyoke College,X,0.2337396873626858,A,x404_found_pres.pdf,x404_found_text.pdf
Thicc Data,Smith,X,0.26895812526345253,A,thicc_data_pres.pdf,thicc_data_text.pdf
Tie Dad,UMass,X,0.3794155528303236,A,tie_dad_pres.pdf,tie_dad_text.pdf
Statistically Significant,UMass,X,0.45783457858487964,A,statistically_significant_pres.pdf,statistically_significant_text.pdf
Data Champ 2,Hampshire,X,0.5467646974138916,A,data_champ_2_pres.pdf,data_champ_2_text.pdf
Last Stand,Amherst,X,0.7525095751043409,A,last_stand_pres.pdf,last_stand_text.pdf
The Stat Wars,Smith,X,0.8626387850381434,A,the_stat_wars_pres.pdf,the_stat_wars_text.pdf
Pipe Dreamers,Smith,X,0.011780800065025687,B,pipe_dreamers_pres.pdf,pipe_dreamers_text.pdf
Eros Erdos,UMass,X,0.19066236703656614,B,eros_erdos_pres.pdf,eros_erdos_text.pdf
MoData MoMoney,Mount Holyoke College,X,0.4153164541348815,B,modata_momoney_pres.pdf,modata_momoney_text.pdf
Three Musketeers,Amherst,X,0.4229982877150178,B,three_musketeers_pres.pdf,three_musketeers_text.pdf
The Cutting Edge,UMass,X,0.4523767826613039,B,the_cutting_edge_pres.pdf,the_cutting_edge_text.pdf
R-some,Smith,X,0.4958071690052748,B,r_some_pres.pdf,r_some_text.pdf
Pandas,UMass,X,0.5742492049466819,B,pandas_pres.pdf,pandas_text.pdf
We R,Smith,X,0.6605830737389624,B,we_r_pres.pdf,we_r_text.pdf
yEET,UMass,X,0.6938541624695063,B,yeet_pres.pdf,yeet_text.pdf
DatacHAMPs1,Hampshire,X,0.8832548945210874,B,datachamps1_pres.pdf,datachamps1_text.pdf
A_super_NOVA,Smith,X,0.9763948556501418,B,a_super_nova_pres.pdf,a_super_nova_text.pdf
Flannels and Denim,UMass,X,0.10964994691312313,C,flannels_and_denim_pres.pdf,flannels_and_denim_text.pdf
Katrina_of_Motunui,UMass,X,0.21984951803460717,C,katrina_of_motunui_pres.pdf,katrina_of_motunui_text.pdf
The Standard Deviations,UMass,X,0.4398374520242214,C,the_standard_deviations_pres.pdf,the_standard_deviations_text.pdf
Regression Towards the Team,UMass,X,0.5282621143851429,C,regression_towards_the_team_pres.pdf,regression_towards_the_team_text.pdf
Data Dames,Smith,X,0.5810415837913752,C,data_dames_pres.pdf,data_dames_text.pdf
ACOF,Amherst,X,0.6507592387497425,C,acof_pres.pdf,acof_text.pdf
RudeGirlz,Amherst,X,0.8425037185661495,C,rudegirlz_pres.pdf,rudegirlz_text.pdf
B_PALs,UMass,X,0.8672814718447626,C,b_pals_pres.pdf,b_pals_text.pdf
penta1,Mount Holyoke College,X,0.9421785043086857,C,penta1_pres.pdf,penta1_text.pdf
Devil in the Data,Smith,X,0.9425397915765643,C,devil_in_the_data_pres.pdf,devil_in_the_data_text.pdf
The Code Girls,Mount Holyoke College,X,0.9445136177819222,C,the_code_girls_pres.pdf,the_code_girls_text.pdf
