Awards,Host,Year,Title,Team,Presentation
NA,Duke University,2011,NA,NA,NA
NA,Vassar College,2011,NA,NA,NA
NA,Purdue University,2011,NA,NA,NA
NA,Emory University,2011,NA,NA,NA
NA,Davidson College,2011,NA,NA,NA
NA,Middlebury College,2011,NA,NA,NA
NA,Wellesley College,2011,NA,NA,NA
NA,Wesleyan University,2011,NA,NA,NA
NA,Grand Valley State University,2011,NA,NA,NA
NA,Penn State University,2011,NA,NA,NA
NA,UCLA,2011,NA,NA,NA
NA,University of Missouri,2011,NA,NA,NA
NA,Cleveland State University,2011,NA,NA,NA
NA,Ohio State University,2011,NA,NA,NA
NA,Chapman University,2011,NA,NA,NA
NA,UC Berkeley,2011,NA,NA,NA
NA,Miami University (Ohio),2011,NA,NA,NA
NA,University of Massachusets,2011,NA,NA,NA
NA,University of New Mexico,2011,NA,NA,NA
NA,Columbia University,2011,NA,NA,NA
NA,University of Mannheim,2011,NA,NA,NA
NA,University of Virginia,2011,NA,NA,NA
NA,Virginia Tech,2011,NA,NA,NA
NA,"Summit Consulting, DC",2011,NA,NA,NA
NA,Case Western Reserve University,2011,NA,NA,NA
NA,Macalaster College,2011,NA,NA,NA
NA,Loyola University Chicago,2011,NA,NA,NA
NA,Brown University,2011,NA,NA,NA
NA,University of Toronto,2011,NA,NA,NA
NA,Duke University,2012,NA,NA,NA
NA,Vassar College,2012,NA,NA,NA
NA,Purdue University,2012,NA,NA,NA
NA,Emory University,2012,NA,NA,NA
NA,Davidson College,2012,NA,NA,NA
NA,Middlebury College,2012,NA,NA,NA
NA,Wellesley College,2012,NA,NA,NA
NA,Wesleyan University,2012,NA,NA,NA
NA,Grand Valley State University,2012,NA,NA,NA
NA,Penn State University,2012,NA,NA,NA
NA,UCLA,2012,NA,NA,NA
NA,University of Missouri,2012,NA,NA,NA
NA,Cleveland State University,2012,NA,NA,NA
NA,Ohio State University,2012,NA,NA,NA
NA,Chapman University,2012,NA,NA,NA
NA,UC Berkeley,2012,NA,NA,NA
NA,Miami University (Ohio),2012,NA,NA,NA
NA,University of Massachusets,2012,NA,NA,NA
NA,University of New Mexico,2012,NA,NA,NA
NA,Columbia University,2012,NA,NA,NA
NA,University of Mannheim,2012,NA,NA,NA
NA,University of Virginia,2012,NA,NA,NA
NA,Virginia Tech,2012,NA,NA,NA
NA,"Summit Consulting, DC",2012,NA,NA,NA
NA,Case Western Reserve University,2012,NA,NA,NA
NA,Macalaster College,2012,NA,NA,NA
NA,Loyola University Chicago,2012,NA,NA,NA
NA,Brown University,2012,NA,NA,NA
NA,University of Toronto,2012,NA,NA,NA
NA,Duke University,2013,NA,NA,NA
NA,Vassar College,2013,NA,NA,NA
NA,Purdue University,2013,NA,NA,NA
NA,Emory University,2013,NA,NA,NA
NA,Davidson College,2013,NA,NA,NA
NA,Middlebury College,2013,NA,NA,NA
NA,Wellesley College,2013,NA,NA,NA
NA,Wesleyan University,2013,NA,NA,NA
NA,Grand Valley State University,2013,NA,NA,NA
NA,Penn State University,2013,NA,NA,NA
NA,UCLA,2013,NA,NA,NA
NA,University of Missouri,2013,NA,NA,NA
NA,Cleveland State University,2013,NA,NA,NA
NA,Ohio State University,2013,NA,NA,NA
NA,Chapman University,2013,NA,NA,NA
NA,UC Berkeley,2013,NA,NA,NA
NA,Miami University (Ohio),2013,NA,NA,NA
NA,University of Massachusets,2013,NA,NA,NA
NA,University of New Mexico,2013,NA,NA,NA
NA,Columbia University,2013,NA,NA,NA
NA,University of Mannheim,2013,NA,NA,NA
NA,University of Virginia,2013,NA,NA,NA
NA,Virginia Tech,2013,NA,NA,NA
NA,"Summit Consulting, DC",2013,NA,NA,NA
NA,Case Western Reserve University,2013,NA,NA,NA
NA,Macalaster College,2013,NA,NA,NA
NA,Loyola University Chicago,2013,NA,NA,NA
NA,Brown University,2013,NA,NA,NA
NA,University of Toronto,2013,NA,NA,NA
NA,Duke University,2014,NA,NA,NA
NA,Vassar College,2014,NA,NA,NA
NA,Purdue University,2014,NA,NA,NA
NA,Emory University,2014,NA,NA,NA
NA,Davidson College,2014,NA,NA,NA
NA,Middlebury College,2014,NA,NA,NA
NA,Wellesley College,2014,NA,NA,NA
NA,Wesleyan University,2014,NA,NA,NA
NA,Grand Valley State University,2014,NA,NA,NA
NA,Penn State University,2014,NA,NA,NA
NA,UCLA,2014,NA,NA,NA
NA,University of Missouri,2014,NA,NA,NA
NA,Cleveland State University,2014,NA,NA,NA
NA,Ohio State University,2014,NA,NA,NA
NA,Chapman University,2014,NA,NA,NA
NA,UC Berkeley,2014,NA,NA,NA
NA,Miami University (Ohio),2014,NA,NA,NA
NA,University of Massachusets,2014,NA,NA,NA
NA,University of New Mexico,2014,NA,NA,NA
NA,Columbia University,2014,NA,NA,NA
NA,University of Mannheim,2014,NA,NA,NA
